naics_bea,Awarding Agency,Transaction Amount,agency_industry_ratio
51,Environmental Protection Agency,34568135.18,0.011407850623625076
51,General Services Administration,1993223822.05,0.017735016176937044
51,Government Accountability Office,8587638.28,0.03714897453619897
51,National Aeronautics and Space Administration,5410823563.06,0.03622675299979754
51,Office of Personnel Management,15305806.0,0.003923240521351871
51,Securities and Exchange Commission,35066627.56,0.02758263451118614
51,Small Business Administration,510052249.38,0.157545883712637
51,Social Security Administration,1202585886.99,0.09466453145164072
511,Agency for International Development,15200000.0,0.00032148997375662524
511,Department of Agriculture,257787058.67,0.009366276597052454
511,Department of Commerce,2286835413.71,0.11581745405780065
511,Department of Defense,13024691866.4,0.0028480611545138976
511,Department of Education,10209856.99,0.0003930422011897667
511,Department of Energy,121477546.15,0.0002262257652496549
511,Department of Health and Human Services,3610025534.46,0.014702989875226556
511,Department of Homeland Security,1460869449.46,0.010289161982072689
511,Department of Housing and Urban Development,35605400.97,0.0028001891956046425
511,Department of Justice,265642487.54,0.008363585862887834
511,Department of State,202930838.93,0.0024535808643101173
511,Department of Transportation,8882609.0,0.00024672953273956037
511,Department of Veterans Affairs,2570750401.19,0.0068706587323737614
511,Department of the Treasury,873765996.21,0.019177517265408117
511,Environmental Protection Agency,51295293.67,0.016927990035774353
511,General Services Administration,1464556203.63,0.013031114557269224
511,National Archives and Records Administration,7325479.94,0.013399316204241268
511,Office of Personnel Management,29689521.560000002,0.007610127427705672
511,Pension Benefit Guaranty Corporation,12191332.88,0.01727956040860184
511,Securities and Exchange Commission,30281377.28,0.023818662361541787
511,Small Business Administration,18065959.880000003,0.005580247156779328
511,Social Security Administration,1498239651.49,0.11793765097772989
511,U.S. Agency for Global Media,14193798.26,0.31156552728425546
512,Department of Defense,77467233.3,1.693947313092003e-05
512,Department of Justice,48315170.1,0.0015211726006387968
512,Department of Transportation,29246280.0,0.0008123650381065236
512,Department of the Interior,16047792.4,0.0006549633695848134
512,National Aeronautics and Space Administration,11977840.33,8.019449498747437e-05
513,Department of Defense,1147041454.78,0.0002508193087011568
513,Department of Energy,10900000.0,2.0298902302293816e-05
513,Department of Health and Human Services,80057792.26,0.0003260611033899083
513,Department of Homeland Security,126464147.0,0.0008907093607088812
513,Department of State,11792790.7,0.00014258338333837542
513,Department of Transportation,129795580.0,0.003605292409590496
513,Department of the Treasury,27570404.26,0.0006051184253036057
513,Social Security Administration,48916238.57,0.0038505630697163104
514,Department of Defense,103094238.54,2.254323549852387e-05
514,Department of Energy,7803915.0,1.453311084040415e-05
514,Department of Health and Human Services,57181144.0,0.00023288859684246848
514,Department of Homeland Security,571926512.02,0.004028179606460276
514,Department of Justice,65515179.3,0.0020627040217560586
514,Department of the Interior,10479510.57,0.0004277034113755652
52,Consumer Financial Protection Bureau,24655487.84,0.15569378521524704
52,Department of Agriculture,65886522.4,0.0023938804220822924
52,Department of Defense,85118512.0,1.861254992009498e-05
52,Department of Education,14358263276.25,0.5527406905784182
52,Department of Health and Human Services,296521519.0,0.001207679239392401
52,Department of Homeland Security,20463427.630000003,0.0001441275410826893
52,Department of Housing and Urban Development,1497338808.96,0.11775831308688436
52,Department of State,50000000.0,0.0006045362245697087
52,Department of Transportation,78000000.0,0.0021665823131115764
52,Department of Veterans Affairs,42500000.0,0.0001135866772560715
52,Department of the Treasury,15761360.41,0.00034593216341695355
52,General Services Administration,244571637.71,0.00217611384292297
52,Pension Benefit Guaranty Corporation,16249909.0,0.023032041448103144
523,Agency for International Development,76815753.44,0.0016247035893105916
523,Department of Defense,1193169943.64,0.00026090605459781085
523,Department of Education,3095787863.76,0.11917652495824
523,Department of Energy,24384658.0,4.541117343273829e-05
523,Department of Homeland Security,25720617.57,0.0001811548599051739
523,Department of Housing and Urban Development,4594419282.38,0.36132841883842187
523,Department of State,31054900.75,0.00037547624907584027
523,Department of Veterans Affairs,52519139.15,0.00014036410607994726
523,Department of the Interior,316499929.48,0.012917406651246102
523,Federal Communications Commission,9230419.2,0.013376213515444975
523,Pension Benefit Guaranty Corporation,94631849.3,0.13412780806269442
